Date,Time,Orientation
12-13-2017,12:22:26,179.35068624532
12-13-2017,12:22:27,183.469171013898
12-13-2017,12:22:28,165.924801959879
12-13-2017,12:22:29,137.527634787391
12-13-2017,12:22:30,99.4452866925812
12-13-2017,12:22:31,105.71427336944
12-13-2017,12:22:32,347.26189954228
12-13-2017,12:22:33,263.505949255322
12-13-2017,12:22:34,239.724152640876
12-13-2017,12:22:35,216.62998532112
12-13-2017,12:22:36,239.754246454359
12-13-2017,12:22:37,251.721291125544
12-13-2017,12:22:38,317.904488880985
12-13-2017,12:22:39,166.262145002986
12-13-2017,12:22:40,105.382531081452
12-13-2017,12:22:41,103.215113982321
12-13-2017,12:22:42,200.049496205239
12-13-2017,12:22:43,4.52934048346418
12-13-2017,12:22:44,333.519226814266
12-13-2017,12:22:45,310.393445963937
12-13-2017,12:22:47,295.887923921677
12-13-2017,12:22:47,323.139371257125
12-13-2017,12:22:48,194.766454165261
12-13-2017,12:22:49,204.826790057935
12-13-2017,12:22:50,341.279423079404
12-13-2017,12:22:51,328.50435849167
12-13-2017,12:22:53,269.324628390391
12-13-2017,12:22:53,218.601027651424
12-13-2017,12:22:54,187.858578423629
12-13-2017,12:22:55,202.46716460537
12-13-2017,12:22:56,208.924794276915
12-13-2017,12:22:57,168.753975597125
12-13-2017,12:22:58,177.667030954533
12-13-2017,12:22:59,153.036795071577
12-13-2017,12:23:00,68.0149486229061
12-13-2017,12:23:01,102.957950529881
12-13-2017,12:23:02,84.9942524844242
12-13-2017,12:23:03,114.862130139946
12-13-2017,12:23:05,100.466898577308
12-13-2017,12:23:05,120.624706101172
12-13-2017,12:23:06,133.558270351238
12-13-2017,12:23:07,124.539237778668
